# filename,projectID,fileID

# Libs
architectury,419699,5137938
geckolib,388172,7025129
sinytra_connector,890127,5761411
yungs_api,421850,5769971
# bclib,495191,4971470
forgified_fabric_api,889079,6289136
zeta,968868,5597406
curios_api,309927,5680164
moonlightlib,499980,8076692
citadel,331936,5633260
obscure_api,638417,4616364
terrablender,563928,6290448
necronomicon_api,586157,5772681
# aeroblender,879879,4789008
blueprint,382216,6408581
cerbons,955605,5050080
clothconfig,348521,5729105
yetanotherconfiglib,667299,6336646
placebo,283644,6274231
bookshelf,228525,5423987
polytone,958094,7261243
konkrete,410295,5028413
melody,938643,5109692
kotlin,351264,7291067

cupboard_lib,326652,7905744
octolib,916747,6274623
puzzles_lib,495476,6918565


# Dev
paxi,515708,4749994
# harvest_level_tweaker,833035,6461992
you_shall_not_spawn,628744,5820960
incontrol,257356,7436213
structurify,1087551,6858579
biomereplacer,910274,7200634
custom_item_attributes,965954,5610928
property_modifier,474822,4661543
reliable_replacer,1450759,8023331
reliable_recipes,1414959,8072207
reliable_remover,1420447,8072221
reliable_requiem,1521473,8009733
# enchantmentdisabler,912326,5382937

# Utility
jei,238222,7270446
emi,580555,8081375
jade,324717,5672013
appleskin,248787,4770828
mouse_tweaks,60089,5338457
xaeros_world_map,317780,7412248
xaeros_minimap,263420,8046960
emi++_forked,1411826,7937655
no_recipe_book,738663,5760231

# Performance
embeddium,908741,5681725
embeddium_extras,558905,6041697
ferrite_core,429235,4810975
immediatelyfast,686911,6997261
entity_culling,448233,7167800
Embeddium_Dynamic_Lights,551736,6044481
fastworkbench,288885,5101229
connectivity,470193,7366161

# Visual
travelers_titles,504908,5065825
fancy_menu,367706,7256735
drippy_loading_screen,511770,7248426
betteradvancements,272515,5454907
continuity,531351,5981334
oculus,581495,6020952
overflowing_bars,852662,5763974
pretty_rain,1163800,6411988

# Biomes/Dimensions
# betternether,311377,4971478
galosphere,631098,4983871
spelunkers_charm,886997,5333907
spelunkery,790530,6122072
spelunkery_plus,1307013,7291975
alexs_caves,924854,5848216
yungs_cave_biomes,1111586,6304088
# deeper_and_darker,659011,5906086
# the_aether,255308,6134920
# the_abyss_ii_the_other_side,440647,5129404
# betterend,413596,4971487
# aquamirae,536254,4616373
# voidscape,251730,5179872
# aetherredux,867237,6596294
# deepaether,852465,6542076
cavernsandchasms,438005,6040957
regionsunexplored,659110,5558225
darker_depths,460681,7238258
luminous_overworld,909107,6588230

# structure
yungs_better_dungeons,510089,5271360
# explore_ruins_aether,1327133,6888245
feur_fossil,1117070,7232476
subterrestrial,575588,4574890
epic_structures_dungeons,1501318,7999619

# Other
grappling_hook:_restitched,820533,5226155
immersive_portals,355440,6368524
quark,243121,5594847
quark_oddities,301051,5070502
geodeplus,620784,5407755
organics,411399,4703550
leafs_copper_backport,1313101,7085403
explorers_compass,491794,4712194
shield_expansion,583318,7742039
shield_expansion_expansion,886903,5614571
woodgood,628539,7929077

# mobs
bomd,941573,5067728
mowziesmobs,250498,6224182
alexs_mobs,426558,5698791
# made_in_abyss:_shroombears,1029082,5390423
kobolds,484967,5605622
species,857737,6886321

# temp
betterf3,401648,4863626
# enchanting_overhaul,960121,5463023
controlling,250398,4646682
searchables,858542,5284015

# gameplay
ht_tree_chop,421377,5565422
seperated_leaves,905482,6289735
yeetus_experimentus,635427,4680832
# carry_on,274259,4882500 needs to be tested, walk through immersive portal
visual_workbench,500273,6798189
crafting_tweaks,233071,8019501

# extras
screenshot_viewer,693961,5343674
model_gap_fix,676136,5200949
